"","No","ORF","Gene","Ch","Mean","Mean.1","X3153A","SD","p.value","p.paired","X3153A.1","SD2","start","end","strand","flag47b","p.complete.compensation","p.zero.compensation","compflag"
"1852",1869,"orf19.7299.1","","R",42.5,118.5,2.8,1.846,0.970977686,0.962394075,1,0.069,1931347,1931048,"C",NA,NA,NA,NA
"1853",1870,"orf19.7300","","R",152.5,244.6,1.6,1.447,0.108808514,0.074647987,1,0.037,1931876,1932700,"W",NA,NA,NA,NA
"1854",1871,"orf19.7301","","R",154.9,173.5,1.1,0.471,0.975553027,0.97274641,1.1,0.073,1934844,1933084,"C",NA,NA,NA,NA
"1855",1872,"orf19.7303","","R",4.7,5.4,1,0.467,0.742719471,0.498009197,1,0.033,1935993,1936730,"W",NA,NA,NA,NA
"1856",1873,"orf19.7304","","R",570.8,347,0.6,0.303,0.288830535,0.124231653,1,0.057,1938292,1936814,"C",NA,NA,NA,NA
"1857",1874,"orf19.7305","","R",547.3,556.6,1,0.289,0.815850058,0.551054213,1,0.043,1941773,1940490,"C",NA,NA,NA,NA
"1858",1875,"orf19.7306","","R",1839.2,2337.8,1.3,0.67,0.129325223,0.282438021,1,0.087,1943395,1942346,"C",NA,NA,NA,NA
"1859",1876,"orf19.7307","","R",1099.5,1001.3,0.9,0.368,0.970551795,0.953572182,1,0.053,1944876,1944019,"C",NA,NA,NA,NA
"1860",1877,"orf19.7308","TUB1","R",7023.2,6212.6,0.9,0.281,0.47427314,0.367512278,1.1,0.112,1947002,1945442,"C",NA,NA,NA,NA
"1861",1878,"orf19.7310","","R",6288.6,7020.7,1.1,0.258,0.599724827,0.136558376,1,0.041,1950017,1947651,"C",NA,NA,NA,NA
"1862",1879,"orf19.7311","","R",251.9,297.7,1.2,0.252,0.305768888,0.267694668,1,0.074,1950737,1951321,"W",NA,NA,NA,NA
"1863",1880,"orf19.7312","ERG13","R",3690.1,4099.8,1.1,0.329,0.798908076,0.559537773,1,0.061,1952785,1951430,"C",NA,NA,NA,NA
"1864",1881,"orf19.7313","SSU1","R",1661.6,1737.6,1,0.267,0.867577423,0.71861605,1.1,0.107,1955514,1954069,"C",NA,NA,NA,NA
"1865",1882,"orf19.7314","CDG1","R",968.4,1129.6,1.2,0.204,0.604805023,0.049952858,1,0.097,1957893,1958690,"W",NA,NA,NA,NA
"1866",1883,"orf19.7316","","R",368.6,432.2,1.2,0.419,0.561344061,0.275674124,1.1,0.1,1959725,1958820,"C",NA,NA,NA,NA
"1867",1884,"orf19.7317","UGA33","R",330.8,304.1,0.9,0.364,0.712556316,0.590568446,1,0.039,1961409,1959961,"C",NA,NA,NA,NA
"1868",1885,"orf19.7319","SUC1","R",181.7,177.9,1,0.494,0.724443608,0.406080629,1,0.046,1961827,1963332,"W",NA,NA,NA,NA
"1869",1886,"orf19.7320","LIP7","R",95.7,129.3,1.3,11.755,0.388498501,0.20371782,1,0.051,1964703,1963423,"C",NA,NA,NA,NA
"1870",1887,"orf19.7321","","R",329.1,339.6,1,0.312,0.89803281,0.862851938,1,0.049,1966892,1965072,"C",NA,NA,NA,NA
"1871",1888,"orf19.7322","","R",4034.4,4060.4,1,0.856,0.667341919,0.627453051,1,0.06,1967721,1967278,"C",NA,NA,NA,NA
"1872",1889,"orf19.7323","CBP1","R",231.3,336.6,1.5,56.461,0.457445369,0.356141559,1,0.032,1970339,1968870,"C",NA,NA,NA,NA
"1873",1890,"orf19.7324","THI13","R",149.3,155.4,1,0.327,0.809923302,0.631871767,1,0.081,1972365,1973384,"W",NA,NA,NA,NA
"1874",1891,"orf19.7325","","R",924.1,1419.8,1.5,0.227,0.009101599,0.001082881,1,0.156,1974446,1973541,"C",NA,NA,NA,NA
"1875",1892,"orf19.7326","","R",253.1,358.6,1.4,0.673,0.450334196,0.086784128,1,0.042,1974889,1976628,"W",NA,NA,NA,NA
"1876",1893,"orf19.7327","PHO88","R",4420,4771.3,1.1,0.338,0.520629083,0.522488351,1,0.022,1977431,1976856,"C",NA,NA,NA,NA
"1877",1894,"orf19.7328","","R",2042.2,1606.7,0.8,0.27,0.378637445,0.234282802,1,0.096,1980530,1977825,"C",NA,NA,NA,NA
"1878",1895,"orf19.7329","","R",1986.2,2632.7,1.3,0.358,0.814504512,0.226647739,1.1,0.108,1981163,1981666,"W",NA,NA,NA,NA
"1879",1896,"orf19.7330","","R",3.9,4.3,1,0.04,0.984072481,0.363217468,1,0.028,1982885,1982172,"C",NA,NA,NA,NA
"1880",1897,"orf19.7331","FCY24","R",60.3,102.9,1.7,3.102,0.128682056,0.067788732,1.1,0.092,1983245,1984831,"W",NA,NA,NA,NA
"1881",1898,"orf19.7332","ELF1","R",3265.6,2364.6,0.7,0.227,0.187051774,0.046568244,1,0.043,1985195,1988782,"W",NA,NA,NA,NA
"1882",1899,"orf19.7335","PRE8","R",1299,1824.9,1.4,0.59,0.310539297,0.08154457,1,0.063,1989161,1990063,"W",NA,NA,NA,NA
"1883",1900,"orf19.7336","","R",477.2,430.7,0.9,0.21,0.865614675,0.311199831,1,0.046,1992313,1990499,"C",NA,NA,NA,NA
"1884",1901,"orf19.7337","","R",7672.1,8011.6,1,18.691,0.72965863,0.222387865,1,0.051,2000400,2002514,"W",NA,NA,NA,NA
"1885",1902,"orf19.7339","BGL22","R",52.5,62.6,1,5.977,0.750515355,0.344817843,1.1,0.092,2005913,2002983,"C",NA,NA,NA,NA
"1886",1903,"orf19.7340","","R",20.8,61,1,41.785,0.614178087,0.574067367,1,0.045,2006764,2006432,"C",NA,NA,NA,NA
"1887",1904,"orf19.7341","","R",882.7,967.8,1.1,0.172,0.889847229,0.287363516,1.1,0.052,2007958,2006911,"C",NA,NA,NA,NA
"1888",1905,"orf19.7342","AXL1","R",3.3,24.1,1,23.122,0.085528792,0.050796781,1,0.031,2017305,2021417,"W",NA,NA,NA,NA
"1889",1906,"orf19.7343","","R",392.1,431.3,1.1,63.486,0.546628074,0.407710207,1.1,0.034,2021942,2023318,"W",NA,NA,NA,NA
"1890",1907,"orf19.7344","","R",415.1,280,0.7,0.603,0.567734866,0.289886192,1,0.061,2023763,2026270,"W",NA,NA,NA,NA
"1891",1908,"orf19.7345","","R",378.6,464.9,1.2,1.217,0.332309379,0.230119859,1,0.042,2027614,2026610,"C",NA,NA,NA,NA
"1892",1909,"orf19.6612","","R",974,1287.5,1.3,0.339,0.803125951,0.392365064,1,0.072,2028770,2027970,"C",NA,NA,NA,NA
"1893",1910,"orf19.6610","","R",489.7,305.8,0.6,0.46,0.205548891,0.077472613,1,0.048,2031915,2029141,"C",NA,NA,NA,NA
"1894",1911,"orf19.6608","","R",235.2,196,0.8,3.131,0.754151707,0.728247427,1,0.036,2034660,2032492,"C",NA,NA,NA,NA
"1895",1912,"orf19.6607","","R",915,1271.9,1.4,0.329,0.269545667,0.01633942,1,0.023,2036446,2035832,"C",NA,NA,NA,NA
"1896",1913,"orf19.6606","","R",181.6,187.5,1,0.197,0.980376566,0.564781562,1,0.034,2038879,2037515,"C",NA,NA,NA,NA
"1897",1914,"orf19.6605","","R",17.1,44.9,1,7.96,0.604573452,0.557010742,1,0.043,2039230,2040093,"W",NA,NA,NA,NA
"1898",1915,"orf19.6604","","R",351.1,830.9,2.4,1.417,0.20595178,0.096425421,1,0.036,2041301,2040213,"C",NA,NA,NA,NA
"1899",1916,"orf19.6602","","R",470.2,908.3,1.9,0.436,0.006454655,0.000622126,1,0.052,2042808,2043677,"W",NA,NA,NA,NA
"1900",1917,"orf19.6601.1","YKE2","R",166.7,255.7,1.5,8.935,0.392415511,0.06534599,1,0.047,2044321,2043818,"C",NA,NA,NA,NA
"1901",1918,"orf19.6601","","R",1013.4,1524.8,1.5,1.069,0.294051102,0.08401327,1.1,0.081,2046291,2045083,"C",NA,NA,NA,NA
"1902",1919,"orf19.6600","","R",316.7,413.9,1.3,0.413,0.490214652,0.14756568,1,0.027,2048280,2047690,"C",NA,NA,NA,NA
"1903",1920,"orf19.6599.1","","R",5782.8,4977.5,0.9,0.044,0.059473647,0.035807763,1.1,0.039,2049950,2049756,"C",NA,NA,NA,NA
"1904",1921,"orf19.6598","WAL1","R",120.1,78.3,0.7,0.507,0.413615956,0.147703733,1.1,0.172,2050368,2052509,"W",NA,NA,NA,NA
"1905",1922,"orf19.6597","","R",73.7,117.5,1.6,45.339,0.375988265,0.153898578,1,0.05,2053092,2054267,"W",NA,NA,NA,NA
"1906",1923,"orf19.6596","","R",3569.1,4126.8,1.2,0.201,0.631715124,0.039474594,1,0.057,2055203,2054292,"C",NA,NA,NA,NA
"1907",1924,"orf19.6595","RTA4","R",103.9,140.3,1.3,10.541,0.572375273,0.188953253,1.1,0.051,2057241,2055871,"C",NA,NA,NA,NA
"1908",1925,"orf19.6594","PLB3","R",2701.8,2534.3,0.9,0.298,0.889282729,0.647384534,1.1,0.039,2061195,2059297,"C",NA,NA,NA,NA
"1909",1926,"orf19.6592","","R",265.6,382.3,1.4,0.888,0.32456314,0.06733028,1,0.048,2063769,2065538,"W",NA,NA,NA,NA
"1910",1927,"orf19.6591","","R",503.4,450,0.9,0.254,0.658105516,0.424478668,1,0.05,2066600,2067778,"W",NA,NA,NA,NA
"1911",1928,"orf19.6590","VMA22","R",50.2,93.5,1,20.659,0.509494949,0.170883931,1,0.048,2068017,2068583,"W",NA,NA,NA,NA
"1912",1929,"orf19.6589","","R",2197,1820.4,0.8,0.245,0.507483521,0.178551353,1,0.08,2069970,2068624,"C",NA,NA,NA,NA
"1913",1930,"orf19.7546","","R",1372.3,1205.8,0.9,0.205,0.44370115,0.223679952,1.1,0.048,2070097,2071701,"W",NA,NA,NA,NA
"1914",1931,"orf19.7547","","R",187.5,394.2,2.1,15.866,0.167344856,0.050707332,1.1,0.048,2072857,2071769,"C",NA,NA,NA,NA
"1915",1932,"orf19.7548","","R",262.7,332,1.3,0.278,0.269838263,0.045796255,1,0.049,2073450,2073986,"W",NA,NA,NA,NA
"1916",1933,"orf19.7549","PMT5","R",506.4,428.6,0.8,0.285,0.82637975,0.321218672,1,0.066,2076212,2074035,"C",NA,NA,NA,NA
"1917",1934,"orf19.7550","IFA14","R",128.7,226.6,1.8,30.654,0.439026078,0.157361554,1,0.044,2080150,2078114,"C",NA,NA,NA,NA
"1918",1935,"orf19.7551","ALO1","R",1615.1,1734.2,1.1,0.403,0.747131306,0.290469491,1.1,0.08,2090795,2092468,"W",NA,NA,NA,NA
"1919",1936,"orf19.7552","","R",849.4,722.6,0.9,0.392,0.410247432,0.393140314,1,0.051,2095287,2092669,"C",NA,NA,NA,NA
"1920",1937,"orf19.7553","","R",46,44.6,1,0.626,0.688511189,0.485168281,1,0.115,2095906,2096619,"W",NA,NA,NA,NA
"1921",1938,"orf19.7554","","R",2442.3,1099,0.4,0.655,0.42133265,0.207839525,1.1,0.116,2097128,2098810,"W",NA,NA,NA,NA
"1922",1939,"orf19.7555","","R",7.9,46.7,1,43.247,0.840829029,0.86517958,1,0.048,2097154,2096717,"C",NA,NA,NA,NA
"1923",1940,"orf19.7556","","R",167.2,139.8,0.8,0.309,0.556384762,0.364620536,1.1,0.025,2099576,2098932,"C",NA,NA,NA,NA
"1924",1941,"orf19.7557","FGR46","R",0.7,1.1,1,2.324,0.867753615,0.881707982,1,0.03,2100712,2100350,"C",NA,NA,NA,NA
"1925",1942,"orf19.7558","YTA6","R",543.3,391.3,0.7,20.512,0.859748724,0.786081953,1.1,0.113,2100853,2103315,"W",NA,NA,NA,NA
"1926",1943,"orf19.7561","DEF1","R",2568.7,2609,1,0.375,0.843773693,0.755347689,1.1,0.095,2106215,2108878,"W",NA,NA,NA,NA
"1927",1944,"orf19.7563","BET2","R",1131.8,1226.5,1.1,0.335,0.46149943,0.486050096,1.1,0.047,2114062,2113037,"C",NA,NA,NA,NA
"1928",1945,"orf19.7564","DPB2","R",547.2,488.2,0.9,0.381,0.518124707,0.318809651,1,0.087,2116462,2114336,"C",NA,NA,NA,NA
"1929",1946,"orf19.7565","GNP3","R",874,1062.9,1.2,0.608,0.784311524,0.099820301,1,0.064,2118782,2120479,"W",NA,NA,NA,NA
"1930",1947,"orf19.7566","","R",775.6,1478.1,1.9,0.616,0.17834731,0.001290118,1.1,0.116,2122928,2124643,"W",NA,NA,NA,NA
"1931",1948,"orf19.7567","","R",270.9,326.2,1.2,0.366,0.38182586,0.093464761,1.1,0.059,2125477,2126766,"W",NA,NA,NA,NA
"1932",1949,"orf19.7568","","R",16,12.5,1,0.6,0.980590404,0.887886418,1,0.064,2127071,2127916,"W",NA,NA,NA,NA
"1933",1950,"orf19.7569","SIK1","R",4207.2,5528.8,1.3,0.403,0.253673141,0.157849598,1,0.044,2129688,2128138,"C",NA,NA,NA,NA
"1934",1951,"orf19.7570","UGA3","R",435.6,448.3,1,0.996,0.763217798,0.812015225,1.1,0.062,2132371,2129960,"C",NA,NA,NA,NA
"1935",1952,"orf19.7571","UBC4","R",3195.4,4308.6,1.3,0.378,0.071283843,0.056385058,1,0.048,2133698,2134585,"W",NA,NA,NA,NA
"1936",1953,"orf19.7572","SPT7","R",165.2,124.6,0.8,0.659,0.698886773,0.216773832,1.1,0.085,2135360,2139283,"W",NA,NA,NA,NA
"1937",1954,"orf19.7574","","R",522.8,395.6,0.8,0.104,0.508399244,0.003109413,1.1,0.064,2139917,2144236,"W",NA,NA,NA,NA
"1938",1955,"orf19.7576","","R",456.7,485.9,1.1,0.417,0.732544581,0.581975461,1,0.034,2144797,2144339,"C",NA,NA,NA,NA
"1939",1956,"orf19.7577","MSS51","R",543.3,530.2,1,3.81,0.734943825,0.534681823,1,0.086,2146359,2145052,"C",NA,NA,NA,NA
"1940",1957,"orf19.7578","","R",977.8,1050.6,1.1,25.171,0.654055115,0.386596918,1.1,0.161,2147575,2146799,"C",NA,NA,NA,NA
"1941",1958,"orf19.7579","FGR34","R",490.2,624.9,1.3,3.33,0.57881817,0.302439068,1,0.044,2148076,2149641,"W",NA,NA,NA,NA
"1942",1959,"orf19.7580","","R",1438.2,1584.2,1.1,0.743,0.63132248,0.665717388,1,0.04,2149931,2150245,"W",NA,NA,NA,NA
"1943",1960,"orf19.7581","","R",1338.7,1430.2,1.1,0.184,0.914794491,0.712975433,1,0.05,2150750,2152165,"W",NA,NA,NA,NA
"1944",1961,"orf19.7583","ZCF39","R",2522.3,2979.4,1.2,0.301,0.675687891,0.087280385,1,0.044,2154225,2152180,"C",NA,NA,NA,NA
"1945",1962,"orf19.7585","INO1","R",4958.5,7298.3,1.5,0.644,0.74864134,0.51952252,1.1,0.108,2157196,2155634,"C",NA,NA,NA,NA
"1946",1963,"orf19.7586","CHT3","R",813.8,599.7,0.7,0.56,0.351898941,0.321430672,1.1,0.095,2161835,2163538,"W",NA,NA,NA,NA
"1947",1964,"orf19.7588","","R",212.2,289.4,1.4,0.422,0.915304279,0.295093531,1,0.034,2164594,2163773,"C",NA,NA,NA,NA
"1948",1965,"orf19.7589","","R",159.3,190.5,1.2,15.17,0.714872502,0.341678987,1,0.04,2164701,2165435,"W",NA,NA,NA,NA
"1949",1966,"orf19.7590","","R",2744.8,2738.9,1,0.348,0.952576703,0.851780176,1.1,0.108,2165996,2168158,"W",NA,NA,NA,NA
"1950",1967,"orf19.7592","FAA4","R",9191.7,8770.2,1,0.166,0.697946298,0.360678876,1,0.101,2172618,2174708,"W",NA,NA,NA,NA
"1951",1968,"orf19.7593","","R",369.2,411.6,1.1,0.232,0.780945557,0.531026256,1,0.046,2176379,2174925,"C",NA,NA,NA,NA
"1952",1969,"orf19.7594","","R",35.5,22.8,1,0.855,0.562233291,0.501162781,1,0.069,2176858,2177499,"W",NA,NA,NA,NA
"1953",1970,"orf19.7595","","R",452.5,540.3,1.2,0.299,0.844861352,0.361245365,1,0.057,2178885,2177557,"C",NA,NA,NA,NA
"1954",1971,"orf19.7596","","R",345.2,354.3,1,1.116,0.846725579,0.702429224,1,0.046,2179540,2180523,"W",NA,NA,NA,NA
"1955",1972,"orf19.7597","PGA12","R",63.2,63.2,1,52.063,0.667227902,0.491819419,1,0.099,2181057,2182004,"W",NA,NA,NA,NA
"1956",1973,"orf19.7598","","R",1026.7,1155,1.1,0.178,0.72925493,0.126440865,1,0.103,2182918,2184237,"W",NA,NA,NA,NA
"1957",1974,"orf19.7599","UTP5","R",650.3,741.8,1.1,0.222,0.730055954,0.391363379,1.1,0.099,2184474,2186384,"W",NA,NA,NA,NA
"1958",1975,"orf19.7600","FDH3","R",12325.4,15216.9,1.2,0.274,0.72967064,0.228672964,1.1,0.128,2187850,2186501,"C",NA,NA,NA,NA
"1959",1976,"orf19.7601","","R",445.5,437.9,1,0.343,0.979716151,0.979841111,1.1,0.041,2188567,2189382,"W",NA,NA,NA,NA
"1960",1977,"orf19.7602","","R",1054.8,1218.6,1.2,0.809,0.919789893,0.363080871,1,0.029,2190483,2189443,"C",NA,NA,NA,NA
"1961",1978,"orf19.7603","","R",745.2,865.5,1.2,0.361,0.367922772,0.484229106,1,0.024,2191147,2191473,"W",NA,NA,NA,NA
"1962",1979,"orf19.7604","","R",1240.8,719.7,0.6,0.202,0.135447565,0.009291646,1.1,0.124,2195374,2191550,"C",NA,NA,NA,NA
"1963",1980,"orf19.7605","PUP1","R",1958.7,2802.3,1.4,0.511,0.276735854,0.047492665,1.1,0.126,2195778,2196596,"W",NA,NA,NA,NA
"1964",1981,"orf19.7606","","R",612.5,636.4,1,0.173,0.893059421,0.714594707,1,0.051,2197624,2198115,"W",NA,NA,NA,NA
"1965",1982,"orf19.7608","","R",351.6,262.3,0.7,0.074,0.556500199,0.033528838,1,0.058,2199676,2200071,"W",NA,NA,NA,NA
"1966",1983,"orf19.7609","PGA11","R",26.8,12.8,1,0.385,0.532332376,0.283862227,1.1,0.119,2201728,2202102,"W",NA,NA,NA,NA
"1967",1984,"orf19.7610","PTP3","R",327.6,306,0.9,0.314,0.701163163,0.302869011,1,0.063,2206947,2209715,"W",NA,NA,NA,NA
"1968",1985,"orf19.7611","TRX1","R",34110.9,32660.8,1,0.459,0.901166042,0.845491214,1,0.068,2210638,2210327,"C",NA,NA,NA,NA
"1969",1986,"orf19.7612","CTM1","R",2992.6,3545.5,1.2,0.504,0.577311975,0.584705848,1,0.058,2213688,2211628,"C",NA,NA,NA,NA
"1970",1987,"orf19.7613","HCR1","R",2883.7,3160.2,1.1,0.502,0.972716017,0.95425436,1,0.018,2214260,2215117,"W",NA,NA,NA,NA
"1971",1988,"orf19.7614","","R",121.6,133.7,1.1,0.057,0.947173245,0.013162955,1.1,0.08,2216261,2215236,"C",NA,NA,NA,NA
"1972",1989,"orf19.7615","","R",82,138,1.7,3.418,0.621651395,0.120113579,1,0.066,2216559,2217305,"W",NA,NA,NA,NA
"1973",1990,"orf19.7617","","R",1099.5,1427.2,1.3,0.463,0.512481614,0.350532994,1.1,0.092,2217467,2218099,"W",NA,NA,NA,NA
"1974",1991,"orf19.7618","","R",3404.9,4287.1,1.3,0.29,0.524160813,0.010798005,1.1,0.102,2218969,2218139,"C",NA,NA,NA,NA
"1975",1992,"orf19.7619","","R",596.3,455.8,0.8,0.229,0.892146698,0.132111753,1.1,0.058,2219901,2221751,"W",NA,NA,NA,NA
"1976",1993,"orf19.7620","","R",2.2,0,1,0.489,0.422649731,0.422649731,1,0.07,2222451,2221873,"C",NA,NA,NA,NA
"1977",1994,"orf19.7621","","R",428.6,358.6,0.8,0.481,0.329558399,0.237066242,1,0.04,2223004,2225697,"W",NA,NA,NA,NA
"1978",1995,"orf19.7622","SPT3","R",717.4,730.6,1,0.507,0.830087588,0.525051979,1.1,0.102,2226700,2225714,"C",NA,NA,NA,NA
"1979",1996,"orf19.7624","","R",789.6,712.7,0.9,0.243,0.816944877,0.322791567,1,0.049,2229053,2227458,"C",NA,NA,NA,NA
"1980",1997,"orf19.7625","PGA1","R",1902.8,2352.2,1.2,0.277,0.620108939,0.054911909,1.1,0.147,2229458,2229856,"W",NA,NA,NA,NA
"1981",1998,"orf19.7626","EIF4E","R",6494.6,7087.7,1.1,0.505,0.94601121,0.909656611,1.1,0.101,2230355,2230984,"W",NA,NA,NA,NA
"1982",1999,"orf19.7627","","R",493.2,664.6,1.3,0.279,0.376876175,0.031364225,1.1,0.102,2231921,2231031,"C",NA,NA,NA,NA
"1983",2000,"orf19.7629","","R",295.7,249.3,0.8,0.469,0.421243081,0.24577691,1.1,0.172,2232120,2235386,"W",NA,NA,NA,NA
"1984",2001,"orf19.7631","SLD5","R",88.2,58.9,1,0.319,0.827004066,0.229268721,1,0.046,2236105,2235395,"C",NA,NA,NA,NA
"1985",2002,"orf19.7632","","R",574.5,379.4,0.7,0.574,0.482762465,0.199446273,1.1,0.115,2236271,2237758,"W",NA,NA,NA,NA
"1986",2003,"orf19.7634","MCD1","R",145.3,138.9,1,1.697,0.74570874,0.472217022,1,0.06,2239475,2237781,"C",NA,NA,NA,NA
"1987",2004,"orf19.7635","DRS1","R",1710.6,2007.6,1.2,0.213,0.781659115,0.095452028,1.1,0.125,2240886,2242727,"W",NA,NA,NA,NA
"1988",2005,"orf19.7637","YHB4","R",439.5,605.6,1.4,0.378,0.485586411,0.015865807,1.1,0.099,2245358,2244156,"C",NA,NA,NA,NA
"1989",2006,"orf19.7638","PRO1","R",913.8,1305.6,1.4,0.536,0.286052776,0.04484641,1.1,0.114,2245865,2247136,"W",NA,NA,NA,NA
"1990",2007,"orf19.7642","","R",396.7,242.7,0.6,0.467,0.58764481,0.24167433,1.1,0.095,2247207,2249612,"W",NA,NA,NA,NA
"1991",2008,"orf19.7643","","R",1675,1822.5,1.1,0.335,0.889737439,0.816775491,1.1,0.125,2250641,2249595,"C",NA,NA,NA,NA
"1992",2009,"orf19.7644","","R",94.1,100.7,1.1,0.155,0.969976198,0.50182454,1,0.035,2251108,2250707,"C",NA,NA,NA,NA
"1993",2010,"orf19.7645","","R",48.1,29.7,1,0.256,0.884452068,0.216113844,1.1,0.115,2253169,2251172,"C",NA,NA,NA,NA
"1994",2011,"orf19.7646","","R",493.6,459.1,0.9,0.154,0.507893744,0.238209927,1.1,0.058,2253226,2254167,"W",NA,NA,NA,NA
"1995",2012,"orf19.7648","","R",367.3,330.5,0.9,9.974,0.831008597,0.764153691,1.1,0.162,2254323,2255753,"W",NA,NA,NA,NA
"1996",2013,"orf19.7650","LTV1","R",683.2,899.4,1.3,0.49,0.281450398,0.16400136,1.1,0.074,2255840,2256991,"W",NA,NA,NA,NA
"1997",2014,"orf19.7652","CKA1","R",1366.4,1607,1.2,0.213,0.548119178,0.027075868,1.1,0.109,2257300,2258307,"W",NA,NA,NA,NA
"1998",2015,"orf19.7654","CPR6","R",1743.3,2132.6,1.2,1.016,0.257744094,0.114930487,1.1,0.127,2258818,2259927,"W",NA,NA,NA,NA
"1999",2016,"orf19.7655","RPO21","R",8045.2,6415.3,0.8,0.258,0.81786571,0.273564366,1.1,0.152,2260510,2265696,"W",NA,NA,NA,NA
"2000",2017,"orf19.7657","POP3","R",525.8,614.5,1.2,0.457,0.941689814,0.844859971,1.1,0.068,2265749,2266495,"W",NA,NA,NA,NA
"2001",2018,"orf19.7658","RFC4","R",791.4,1150.7,1.5,0.585,0.568718191,0.072193337,1.1,0.07,2266570,2267541,"W",NA,NA,NA,NA
"2002",2019,"orf19.7660","VPS52","R",374.9,300.1,0.8,4.582,0.971825576,0.94279561,1.1,0.1,2269109,2267538,"C",NA,NA,NA,NA
"2003",2020,"orf19.7661","HMI1","R",304.8,368.7,1.2,0.43,0.670096771,0.096374672,1.1,0.133,2269233,2271146,"W",NA,NA,NA,NA
"2004",2021,"orf19.7662","","R",356.1,535.6,1.5,15.333,0.489629588,0.206524931,1.1,0.12,2272137,2271130,"C",NA,NA,NA,NA
"2005",2022,"orf19.7663","","R",258.7,340.1,1.3,0.426,0.217235716,0.283554103,1.1,0.186,2272249,2272926,"W",NA,NA,NA,NA
"2006",2023,"orf19.7664","","R",1456.3,1995.1,1.4,0.471,0.397110279,0.072676883,1.1,0.037,2273334,2272930,"C",NA,NA,NA,NA
"2007",2024,"orf19.7665","","R",403.4,669.9,1.7,0.772,0.105110569,0.162527444,1.1,0.132,2273812,2273426,"C",NA,NA,NA,NA
"2008",2025,"orf19.7666","","R",252.3,343.7,1.4,44.712,0.316927311,0.257708738,1.1,0.262,2274335,2275906,"W",NA,NA,NA,NA
"2009",2026,"orf19.7667","IAH1","R",916.1,714.4,0.8,0.161,0.464244989,0.017900292,1,0.044,2276724,2275918,"C",NA,NA,NA,NA
"2010",2027,"orf19.7668","MAL2","R",2442.1,969.3,0.4,0.313,0.0032274,0.01765679,1.1,0.104,2276897,2278609,"W",NA,NA,NA,NA
"2011",2028,"orf19.7670","","R",3497.6,2660.5,0.8,0.274,0.152428833,0.169394838,1.1,0.229,2281388,2278617,"C",NA,NA,NA,NA
"2012",2029,"orf19.7672","","R",676,654.2,1,0.173,0.963727038,0.897800253,1.1,0.181,2282476,2281481,"C",NA,NA,NA,NA
"2013",2030,"orf19.7673","","R",1351.1,1856.3,1.4,0.438,0.42659382,0.028927152,1.2,0.176,2282567,2282917,"W",NA,NA,NA,NA
"2014",2031,"orf19.7675","","R",1680,1906.5,1.1,0.511,0.932368916,0.84422591,1.1,0.158,2283424,2282948,"C",NA,NA,NA,NA
"2015",2032,"orf19.7676","XYL2","R",20572.6,24247.3,1.2,0.414,0.163284966,9.28e-06,1.1,0.119,2284606,2283524,"C",NA,NA,NA,NA
"2016",2033,"orf19.7678","","R",12137,15858.6,1.3,0.328,0.237955316,0.07203277,1.1,0.039,2285380,2284895,"C",NA,NA,NA,NA
"2017",2034,"orf19.7680","CTA26","R",522.6,847.5,1.6,0.394,0.20331022,0.002798962,1.1,0.067,2286350,2285529,"C",NA,NA,NA,NA
"2018",2037,"orf19.6112","CTA2","1",6489.3,8491.6,1.3,0.37,0.722389316,0.028973747,1.1,0.031,10718,11485,"W",NA,NA,NA,NA
"2019",2038,"orf19.6110","","1",173.3,73.4,0.4,0.52,0.563605874,0.425698917,1.1,0.211,11995,11648,"C",NA,NA,NA,NA
"2020",2039,"orf19.6109","TUP1","1",4746.7,4098.5,0.9,0.227,0.396110308,0.059680813,1.1,0.197,12163,13701,"W",NA,NA,NA,NA
"2021",2040,"orf19.6105","MVD","1",2699.6,3046.3,1.1,0.429,0.641207407,0.39542928,1.1,0.132,13778,14917,"W",NA,NA,NA,NA
"2022",2041,"orf19.6103","","1",59.9,98.7,1,22.95,0.742157942,0.66488387,1.1,0.176,15595,16116,"W",NA,NA,NA,NA
"2023",2042,"orf19.6102","","1",2176,2818.8,1.3,0.293,0.386806046,0.006608098,1.1,0.078,15761,14910,"C",NA,NA,NA,NA
"2024",2043,"orf19.6100","","1",1190.2,1531.4,1.3,0.231,0.189450838,0.020442349,1.1,0.193,17328,16600,"C",NA,NA,NA,NA
"2025",2044,"orf19.6099","CCT8","1",1702,2130.9,1.3,0.366,0.738205297,0.413166978,1.1,0.259,17338,18960,"W",NA,NA,NA,NA
"2026",2045,"orf19.6096","TRP1","1",3454.8,4002,1.2,0.545,0.751665159,0.665511682,1.1,0.154,19628,18948,"C",NA,NA,NA,NA
"2027",2046,"orf19.6094","","1",450.7,394,0.9,25.952,0.682713507,0.545467217,1.1,0.107,21714,19615,"C",NA,NA,NA,NA
"2028",2047,"orf19.6092","KEL1","1",736.9,724.1,1,0.186,0.880241149,0.833016535,1,0.115,22270,25326,"W",NA,NA,NA,NA
"2029",2048,"orf19.6091","RIM8","1",3780,2802.5,0.7,0.268,0.152467212,0.067985746,1.1,0.085,27249,25381,"C",NA,NA,NA,NA
"2030",2049,"orf19.6090","","1",6212.9,6962.8,1.1,0.201,0.617731806,0.093771981,1,0.12,29488,28286,"C",NA,NA,NA,NA
